Rk,Player,Tm,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,Player_Clean,Team_Clean,Current_Salary,Salary_Tier,Salary_Millions,Has_Salary_Data,Multi_Year_Contract,Total_Contract_Value
187,Bilal Coulibaly,WAS,7275600,9240012,,,,,"$7,275,600",Bilal Coulibaly,WAS,7275600,Role Player,7.2756,True,True,16515612.0
188,Payton Pritchard,BOS,7232143,7767857,,,,,"$23,303,571",Payton Pritchard,BOS,7232143,Role Player,7.232143,True,True,15000000.0
189,Donovan Clingan,POR,7178400,7519920,,,,,"$7,178,400",Donovan Clingan,POR,7178400,Role Player,7.1784,True,True,14698320.0
190,Kenrich Williams,OKC,7163000,7163000,,,,,"$7,163,000",Kenrich Williams,OKC,7163000,Role Player,7.163,True,True,14326000.0
192,Egor Demin,BRK,6889200,7233720,,,,,"$14,122,920",Egor Demin,BKN,6889200,Role Player,6.8892,True,True,14122920.0
195,Jarace Walker,IND,6665520,8478542,,,,,"$6,665,520",Jarace Walker,IND,6665520,Role Player,6.66552,True,True,15144062.0
198,Rob Dillingham,MIN,6576120,6889320,,,,,"$6,576,120",Rob Dillingham,MIN,6576120,Role Player,6.57612,True,True,13465440.0
201,Collin Murray-Boyles,TOR,6332520,6649560,,,,,"$12,982,080",Collin Murray-Boyles,TOR,6332520,Role Player,6.33252,True,True,12982080.0
203,John Konchar,MEM,6165000,6165000,,,,,"$12,330,000",John Konchar,MEM,6165000,Role Player,6.165,True,True,12330000.0
204,Taylor Hendricks,UTA,6127080,7805900,,,,,"$6,127,080",Taylor Hendricks,UTA,6127080,Role Player,6.12708,True,True,13932980.0
205,Saddiq Bey,NOP,6118644,6440678,,,,,"$12,559,322",Saddiq Bey,NOR,6118644,Role Player,6.118644,True,True,12559322.0
206,Zach Edey,MEM,6045000,6332760,,,,,"$6,045,000",Zach Edey,MEM,6045000,Role Player,6.045,True,True,12377760.0
207,Khaman Maluach,PHO,6016080,6316680,,,,,"$12,332,760",Khaman Maluach,PHX,6016080,Role Player,6.01608,True,True,12332760.0
208,Jaden Hardy,DAL,6000000,6000000,,,,,"$12,000,000",Jaden Hardy,DAL,6000000,Role Player,6.0,True,True,12000000.0
209,Cason Wallace,OKC,5820240,7420806,,,,,"$5,820,240",Cason Wallace,OKC,5820240,Role Player,5.82024,True,True,13241046.0
210,Cody Williams,UTA,5742480,6015600,,,,,"$5,742,480",Cody Williams,UTA,5742480,Role Player,5.74248,True,True,11758080.0
211,Cedric Coward,MEM,5715120,6001080,,,,,"$11,716,200",Cedric Coward,MEM,5715120,Role Player,5.71512,True,True,11716200.0
